data_start_time_unix_time,0
time_step_sec,60
actual_non_pev_net_load_akW,forecasted_non_pev_net_load_akW
4722.614872,4742.614872
4717.880329,4737.880329
4713.145778,4733.145778
4708.411235,4728.411235
4703.676692,4723.676692
4698.942149,4718.942149
4694.207598,4714.207598
4689.473055,4709.473055
4684.738512,4704.738512
4680.003961,4700.003961
4675.269418,4695.269418
4670.534875,4690.534875
4665.800324,4685.800324
4661.065781,4681.065781
4656.331239,4676.331239
4651.596696,4671.596696
4646.862145,4666.862145
4642.127602,4662.127602
4637.393059,4657.393059
4632.658508,4652.658508
4627.923965,4647.923965
4623.189422,4643.189422
4618.454871,4638.454871
4613.720328,4633.720328
4608.985785,4628.985785
4604.251242,4624.251242
4599.516691,4619.516691
4594.782148,4614.782148
4590.047606,4610.047606
4585.313054,4605.313054
4580.578512,4600.578512
4575.843969,4595.843969
4571.109418,4591.109418
4566.374875,4586.374875
4561.640332,4581.640332
4556.905789,4576.905789
4552.171238,4572.171238
4547.436695,4567.436695
4542.702152,4562.702152
4537.967601,4557.967601
4533.233058,4553.233058
4528.498515,4548.498515
4523.763964,4543.763964
4519.029421,4539.029421
4514.294879,4534.294879
4509.560336,4529.560336
4504.825785,4524.825785
4500.091242,4520.091242
4495.356699,4515.356699
4490.622148,4510.622148
4485.887605,4505.887605
4481.153062,4501.153062
4476.418511,4496.418511
4471.683968,4491.683968
4466.949425,4486.949425
4462.214882,4482.214882
4457.480331,4477.480331
4452.745788,4472.745788
4448.011246,4468.011246
4443.276694,4463.276694
4438.542152,4458.542152
4433.446504,4453.446504
4428.350856,4448.350856
4423.255208,4443.255208
4418.15956,4438.15956
4413.063904,4433.063904
4407.968256,4427.968256
4402.872608,4422.872608
4397.77696,4417.77696
4392.681313,4412.681313
4387.585665,4407.585665
4382.490017,4402.490017
4377.394369,4397.394369
4372.298713,4392.298713
4367.203065,4387.203065
4362.107417,4382.107417
4357.011769,4377.011769
4351.916121,4371.916121
4346.820474,4366.820474
4341.724826,4361.724826
4336.629178,4356.629178
4331.53353,4351.53353
4326.437874,4346.437874
4321.342226,4341.342226
4316.246578,4336.246578
4311.15093,4331.15093
4306.055282,4326.055282
4300.959635,4320.959635
4295.863987,4315.863987
4290.768339,4310.768339
4285.672691,4305.672691
4280.577035,4300.577035
4275.481387,4295.481387
4270.385739,4290.385739
4265.290091,4285.290091
4260.194443,4280.194443
4255.098795,4275.098795
4250.003148,4270.003148
4244.9075,4264.9075
4239.811844,4259.811844
4234.716196,4254.716196
4229.620548,4249.620548
4224.5249,4244.5249
4219.429252,4239.429252
4214.333604,4234.333604
4209.237956,4229.237956
4204.142309,4224.142309
4199.046661,4219.046661
4193.951005,4213.951005
4188.855357,4208.855357
4183.759709,4203.759709
4178.664061,4198.664061
4173.568413,4193.568413
4168.472765,4188.472765
4163.377117,4183.377117
4158.28147,4178.28147
4153.185813,4173.185813
4148.090166,4168.090166
4142.994518,4162.994518
4137.89887,4157.89887
4132.803222,4152.803222
4130.993939,4150.993939
4129.184656,4149.184656
4127.375364,4147.375364
4125.566081,4145.566081
4123.756798,4143.756798
4121.947515,4141.947515
4120.138223,4140.138223
4118.32894,4138.32894
4116.519657,4136.519657
4114.710374,4134.710374
4112.901082,4132.901082
4111.091799,4131.091799
4109.282516,4129.282516
4107.473233,4127.473233
4105.66395,4125.66395
4103.854658,4123.854658
4102.045375,4122.045375
4100.236092,4120.236092
4098.426809,4118.426809
4096.617517,4116.617517
4094.808234,4114.808234
4092.998951,4112.998951
4091.189668,4111.189668
4089.380376,4109.380376
4087.571093,4107.571093
4085.76181,4105.76181
4083.952527,4103.952527
4082.143235,4102.143235
4080.333952,4100.333952
4078.524669,4098.524669
4076.715386,4096.715386
4074.906103,4094.906103
4073.096811,4093.096811
4071.287528,4091.287528
4069.478245,4089.478245
4067.668962,4087.668962
4065.85967,4085.85967
4064.050387,4084.050387
4062.241104,4082.241104
4060.431821,4080.431821
4058.622529,4078.622529
4056.813246,4076.813246
4055.003963,4075.003963
4053.19468,4073.19468
4051.385397,4071.385397
4049.576105,4069.576105
4047.766822,4067.766822
4045.957539,4065.957539
4044.148256,4064.148256
4042.338964,4062.338964
4040.529681,4060.529681
4038.720398,4058.720398
4036.911115,4056.911115
4035.101823,4055.101823
4033.29254,4053.29254
4031.483257,4051.483257
4029.673974,4049.673974
4027.864683,4047.864683
4026.055399,4046.055399
4024.246116,4044.246116
4024.185729,4044.185729
4024.125341,4044.125341
4024.064962,4044.064962
4024.004575,4044.004575
4023.944188,4043.944188
4023.8838,4043.8838
4023.823413,4043.823413
4023.763026,4043.763026
4023.702647,4043.702647
4023.642259,4043.642259
4023.581872,4043.581872
4023.521484,4043.521484
4023.461097,4043.461097
4023.40071,4043.40071
4023.340331,4043.340331
4023.279943,4043.279943
4023.219556,4043.219556
4023.159168,4043.159168
4023.098781,4043.098781
4023.038394,4043.038394
4022.978015,4042.978015
4022.917627,4042.917627
4022.85724,4042.85724
4022.796852,4042.796852
4022.736465,4042.736465
4022.676078,4042.676078
4022.615699,4042.615699
4022.555311,4042.555311
4022.494924,4042.494924
4022.434537,4042.434537
4022.374149,4042.374149
4022.313762,4042.313762
4022.253383,4042.253383
4022.192995,4042.192995
4022.132608,4042.132608
4022.072221,4042.072221
4022.011833,4042.011833
4021.951446,4041.951446
4021.891067,4041.891067
4021.830679,4041.830679
4021.770292,4041.770292
4021.709905,4041.709905
4021.649517,4041.649517
4021.58913,4041.58913
4021.528751,4041.528751
4021.468363,4041.468363
4021.407976,4041.407976
